id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto82,coddpto,departamento82,departamento,codmpio82,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,en_lista,primer_apellido,segundo_apellido,nombres,votos,curules
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18480001,10,1,GIRALDO,HENAO,ENRIQUE,0,0
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18480001,10,,,,PARTIDO LIBERAL COLOMBIANO,0,0
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,1,,,,PARTIDO CONSERVADOR COLOMBIANO,0,0
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,1,1,ZULETA,DE JARAMILLO,BARBARITA,0,1
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,2,,,,PARTIDO CONSERVADOR COLOMBIANO,0,0
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,2,1,RESTREPO,RUIZ,CARLINA,0,1
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,3,,,,PARTIDO CONSERVADOR COLOMBIANO,0,0
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,3,1,TOBON,DIAZ,LUIS ALFONSO,0,1
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,4,,,,PARTIDO CONSERVADOR COLOMBIANO,0,0
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,4,1,BUSTAMANTE,DE SUAREZ,REGINA,0,1
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,5,,,,PARTIDO CONSERVADOR COLOMBIANO,0,0
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,5,1,ZULUAGA,ZULUAGA,JOSE HORACIO,0,1
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,6,,,,PARTIDO CONSERVADOR COLOMBIANO,0,0
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,6,1,ACEVEDO,CALLE,NORBERTO,0,1
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,7,,,,PARTIDO CONSERVADOR COLOMBIANO,253,0
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,7,1,JARAMILLO,ALZATE,JOSE,0,1
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,8,,,,PARTIDO CONSERVADOR COLOMBIANO,0,0
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,8,1,VARGAS,S,NONATO DE LA CRUZ,0,1
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,9,,,,PARTIDO CONSERVADOR COLOMBIANO,0,0
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,9,1,MONTOYA,MESA,GUILLERMO,0,1
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,10,,,,PARTIDO CONSERVADOR COLOMBIANO,0,0
519820001,1982,Asamblea Departamental,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,10,1,MARTINEZ,ACOSTA,CARMEN LEONOR,0,1
